,seccion,bastion_MORENA_01,Prioridad
0,532,0.0,Alta
1,341,0.0,Alta
2,807,0.0,Alta
3,808,1.0,Alta
4,951,1.0,Alta
5,638,0.0,Alta
6,217,0.0,Alta
7,956,0.0,Alta
8,223,0.0,Alta
9,1332,0.0,Alta
10,571,0.0,Alta
11,564,0.0,Alta
12,590,0.0,Alta
13,374,0.0,Alta
14,340,0.0,Alta
15,75,0.0,Alta
16,214,0.0,Alta
17,729,0.0,Alta
18,730,0.0,Alta
19,661,0.0,Alta
20,601,0.0,Alta
21,24,0.0,Alta
22,887,1.0,Alta
23,1261,0.0,Alta
24,857,1.0,Alta
25,221,0.0,Alta
26,344,0.0,Alta
27,22,0.0,Alta
28,336,0.0,Alta
29,295,1.0,Alta
30,1303,1.0,Alta
31,558,0.0,Alta
32,949,1.0,Alta
33,1022,0.0,Alta
34,569,0.0,Alta
35,26,0.0,Alta
36,901,1.0,Alta
37,342,0.0,Alta
38,359,0.0,Alta
39,338,0.0,Alta
40,343,0.0,Alta
41,533,0.0,Alta
42,1260,1.0,Alta
43,449,0.0,Alta
44,20,0.0,Alta
45,474,0.0,Alta
46,524,0.0,Alta
47,844,0.0,Alta
48,746,0.0,Alta
49,297,1.0,Alta
50,17,0.0,Alta
51,1251,1.0,Alta
52,911,1.0,Alta
53,1267,1.0,Alta
54,780,1.0,Alta
55,912,1.0,Alta
56,171,0.0,Alta
57,592,0.0,Alta
58,724,0.0,Alta
59,31,0.0,Alta
60,916,1.0,Alta
61,910,1.0,Alta
62,794,0.0,Alta
63,216,0.0,Alta
64,222,0.0,Alta
65,786,1.0,Alta
66,670,0.0,Alta
67,1289,0.0,Alta
68,1410,1.0,Alta
69,632,0.0,Alta
70,737,0.0,Alta
71,634,0.0,Alta
72,1264,1.0,Alta
73,316,1.0,Alta
74,1048,0.0,Alta
75,23,0.0,Alta
76,598,0.0,Alta
77,345,0.0,Alta
78,296,1.0,Alta
79,1109,0.0,Alta
80,448,0.0,Alta
81,83,0.0,Alta
82,1069,0.0,Alta
83,415,1.0,Alta
84,1195,0.0,Alta
85,1156,0.0,Alta
86,337,0.0,Alta
87,710,0.0,Alta
88,605,0.0,Alta
89,723,0.0,Alta
90,319,0.0,Alta
91,589,0.0,Alta
92,1047,0.0,Alta
93,339,0.0,Alta
94,858,1.0,Alta
95,402,0.0,Alta
96,205,0.0,Alta
97,822,0.0,Alta
98,1045,0.0,Alta
99,1218,1.0,Alta
100,631,0.0,Alta
101,1190,0.0,Alta
102,777,0.0,Alta
103,14,0.0,Alta
104,1291,0.0,Alta
105,1102,0.0,Alta
106,537,0.0,Alta
107,35,0.0,Alta
108,1079,0.0,Alta
109,510,0.0,Alta
110,1216,0.0,Alta
111,1263,1.0,Alta
112,156,0.0,Alta
113,19,0.0,Alta
114,375,0.0,Alta
115,1307,0.0,Alta
116,1203,0.0,Alta
117,1265,0.0,Alta
118,869,0.0,Alta
119,451,0.0,Alta
120,1311,0.0,Alta
121,314,0.0,Alta
122,304,1.0,Alta
123,1098,1.0,Alta
124,255,0.0,Alta
125,73,0.0,Alta
126,1217,0.0,Alta
127,966,1.0,Alta
128,1234,0.0,Alta
129,8,0.0,Alta
130,10,0.0,Alta
131,145,0.0,Alta
132,9,0.0,Alta
133,742,0.0,Alta
134,1259,1.0,Alta
135,765,0.0,Alta
136,1252,1.0,Alta
137,1107,0.0,Alta
138,768,1.0,Alta
139,636,0.0,Alta
140,1409,0.0,Alta
141,138,0.0,Alta
142,376,0.0,Alta
143,1015,0.0,Alta
144,625,0.0,Alta
145,915,1.0,Alta
146,945,0.0,Alta
147,187,0.0,Alta
148,1317,0.0,Alta
149,298,0.0,Alta
150,1184,0.0,Alta
151,439,0.0,Alta
152,206,0.0,Alta
153,428,0.0,Alta
154,131,0.0,Alta
155,126,0.0,Alta
156,1269,0.0,Alta
157,1059,0.0,Alta
158,907,1.0,Alta
159,701,0.0,Alta
160,1043,0.0,Alta
161,1044,0.0,Alta
162,1442,0.0,Alta
163,130,0.0,Alta
164,761,0.0,Alta
165,842,0.0,Alta
166,1297,0.0,Alta
167,387,0.0,Alta
168,306,0.0,Alta
169,215,0.0,Alta
170,293,1.0,Alta
171,565,0.0,Alta
172,1243,0.0,Alta
173,719,0.0,Alta
174,1230,0.0,Alta
175,991,1.0,Alta
176,393,0.0,Alta
177,220,0.0,Alta
178,1105,0.0,Alta
179,347,0.0,Alta
180,351,0.0,Alta
181,1082,0.0,Alta
182,1343,0.0,Alta
183,103,0.0,Alta
184,1076,0.0,Alta
185,919,1.0,Alta
186,1211,0.0,Alta
187,1199,0.0,Alta
188,74,0.0,Alta
189,1174,0.0,Alta
190,265,0.0,Alta
191,830,0.0,Alta
192,1147,0.0,Alta
193,350,0.0,Alta
194,308,0.0,Alta
195,681,0.0,Alta
196,1300,0.0,Alta
197,514,0.0,Alta
198,1000,0.0,Alta
199,741,0.0,Alta
200,1041,0.0,Alta
201,431,0.0,Alta
202,367,0.0,Alta
203,392,0.0,Alta
204,1310,0.0,Alta
205,1268,1.0,Alta
206,584,1.0,Alta
207,908,1.0,Alta
208,1181,0.0,Alta
209,1138,0.0,Alta
210,429,0.0,Alta
211,909,1.0,Alta
212,413,0.0,Alta
213,360,0.0,Alta
214,1228,0.0,Alta
215,1212,0.0,Alta
216,509,0.0,Alta
217,888,0.0,Alta
218,113,0.0,Alta
219,105,0.0,Alta
220,1292,0.0,Alta
221,721,0.0,Alta
222,1017,0.0,Alta
223,294,1.0,Alta
224,1198,0.0,Alta
225,47,0.0,Alta
226,501,0.0,Alta
227,384,0.0,Alta
228,1150,0.0,Alta
229,920,1.0,Alta
230,1284,0.0,Alta
231,207,0.0,Alta
232,760,0.0,Alta
233,401,0.0,Alta
234,289,0.0,Alta
235,1333,0.0,Alta
236,544,0.0,Alta
237,386,0.0,Alta
238,430,0.0,Alta
239,1209,0.0,Alta
240,604,0.0,Alta
241,1400,0.0,Alta
242,999,0.0,Alta
243,273,0.0,Alta
244,603,0.0,Alta
245,884,0.0,Alta
246,1097,0.0,Alta
247,1183,0.0,Alta
248,104,0.0,Alta
249,226,0.0,Alta
250,320,1.0,Alta
251,974,1.0,Alta
252,1326,0.0,Alta
253,1550,0.0,Alta
254,732,0.0,Alta
255,394,0.0,Alta
256,192,0.0,Alta
257,1257,0.0,Alta
258,1308,0.0,Alta
259,292,1.0,Alta
260,936,0.0,Alta
261,100,0.0,Alta
262,711,0.0,Alta
263,568,0.0,Alta
264,25,0.0,Alta
265,1286,0.0,Alta
266,554,1.0,Alta
267,1155,0.0,Alta
268,1141,0.0,Alta
269,1013,0.0,Alta
270,1140,0.0,Alta
271,1346,0.0,Alta
272,390,0.0,Alta
273,1244,0.0,Alta
274,883,0.0,Alta
275,1220,0.0,Alta
276,400,0.0,Alta
277,329,0.0,Alta
278,575,0.0,Alta
279,766,0.0,Alta
280,619,0.0,Alta
281,740,0.0,Alta
282,771,0.0,Alta
283,1215,0.0,Alta
284,1248,0.0,Alta
285,427,0.0,Alta
286,1438,0.0,Alta
287,728,0.0,Alta
288,1201,0.0,Alta
289,498,0.0,Alta
290,1229,0.0,Alta
291,536,0.0,Alta
292,180,0.0,Alta
293,696,1.0,Alta
294,1398,0.0,Alta
295,146,0.0,Alta
296,1189,0.0,Alta
297,1236,0.0,Alta
298,385,0.0,Alta
299,1324,0.0,Alta
300,1093,1.0,Alta
301,499,0.0,Media alta
302,1177,0.0,Media alta
303,1042,0.0,Media alta
304,1323,0.0,Media alta
305,82,0.0,Media alta
306,1278,0.0,Media alta
307,1253,1.0,Media alta
308,403,0.0,Media alta
309,21,0.0,Media alta
310,311,0.0,Media alta
311,977,1.0,Media alta
312,659,0.0,Media alta
313,1188,0.0,Media alta
314,581,1.0,Media alta
315,1439,0.0,Media alta
316,317,0.0,Media alta
317,1256,1.0,Media alta
318,1254,0.0,Media alta
319,1277,0.0,Media alta
320,643,0.0,Media alta
321,132,0.0,Media alta
322,414,0.0,Media alta
323,795,0.0,Media alta
324,1083,0.0,Media alta
325,1221,1.0,Media alta
326,767,0.0,Media alta
327,538,0.0,Media alta
328,357,0.0,Media alta
329,365,0.0,Media alta
330,1095,1.0,Media alta
331,1293,0.0,Media alta
332,1139,0.0,Media alta
333,380,0.0,Media alta
334,404,0.0,Media alta
335,310,0.0,Media alta
336,210,0.0,Media alta
337,1182,0.0,Media alta
338,1148,0.0,Media alta
339,769,1.0,Media alta
340,1456,0.0,Media alta
341,358,0.0,Media alta
342,629,1.0,Media alta
343,579,0.0,Media alta
344,646,0.0,Media alta
345,1552,0.0,Media alta
346,1521,0.0,Media alta
347,410,0.0,Media alta
348,382,0.0,Media alta
349,1239,1.0,Media alta
350,140,0.0,Media alta
351,904,0.0,Media alta
352,452,0.0,Media alta
353,425,0.0,Media alta
354,1152,0.0,Media alta
355,109,0.0,Media alta
356,1187,0.0,Media alta
357,355,0.0,Media alta
358,1159,0.0,Media alta
359,72,0.0,Media alta
360,305,1.0,Media alta
361,1519,0.0,Media alta
362,1443,1.0,Media alta
363,133,0.0,Media alta
364,1290,0.0,Media alta
365,1151,0.0,Media alta
366,378,0.0,Media alta
367,1192,0.0,Media alta
368,1225,0.0,Media alta
369,199,0.0,Media alta
370,1161,0.0,Media alta
371,964,1.0,Media alta
372,1213,0.0,Media alta
373,748,0.0,Media alta
374,123,0.0,Media alta
375,231,0.0,Media alta
376,680,0.0,Media alta
377,1091,0.0,Media alta
378,773,0.0,Media alta
379,1226,1.0,Media alta
380,164,0.0,Media alta
381,1551,1.0,Media alta
382,1004,1.0,Media alta
383,1014,1.0,Media alta
384,706,0.0,Media alta
385,1090,0.0,Media alta
386,996,1.0,Media alta
387,225,0.0,Media alta
388,1325,0.0,Media alta
389,411,0.0,Media alta
390,370,0.0,Media alta
391,570,0.0,Media alta
392,373,0.0,Media alta
393,312,0.0,Media alta
394,1142,0.0,Media alta
395,1197,0.0,Media alta
396,409,0.0,Media alta
397,1058,0.0,Media alta
398,313,0.0,Media alta
399,1258,0.0,Media alta
400,1180,0.0,Media alta
401,94,0.0,Media alta
402,1335,0.0,Media alta
403,753,0.0,Media alta
404,1262,0.0,Media alta
405,577,0.0,Media alta
406,508,0.0,Media alta
407,866,1.0,Media alta
408,369,0.0,Media alta
409,1171,1.0,Media alta
410,1523,0.0,Media alta
411,978,1.0,Media alta
412,151,0.0,Media alta
413,937,0.0,Media alta
414,971,1.0,Media alta
415,906,1.0,Media alta
416,896,1.0,Media alta
417,71,0.0,Media alta
418,1247,0.0,Media alta
419,1232,0.0,Media alta
420,397,0.0,Media alta
421,843,0.0,Media alta
422,84,0.0,Media alta
423,882,0.0,Media alta
424,468,0.0,Media alta
425,812,1.0,Media alta
426,994,1.0,Media alta
427,940,1.0,Media alta
428,194,0.0,Media alta
429,747,0.0,Media alta
430,704,0.0,Media alta
431,928,1.0,Media alta
432,1403,0.0,Media alta
433,663,0.0,Media alta
434,1270,0.0,Media alta
435,426,0.0,Media alta
436,862,1.0,Media alta
437,1555,1.0,Media alta
438,1106,1.0,Media alta
439,1075,0.0,Media alta
440,471,0.0,Media alta
441,976,1.0,Media alta
442,930,0.0,Media alta
443,463,0.0,Media alta
444,648,0.0,Media alta
445,398,0.0,Media alta
446,881,0.0,Media alta
447,185,0.0,Media alta
448,1165,0.0,Media alta
449,958,0.0,Media alta
450,749,0.0,Media alta
451,1168,1.0,Media alta
452,433,0.0,Media alta
453,705,0.0,Media alta
454,209,0.0,Media alta
455,1288,0.0,Media alta
456,762,1.0,Media alta
457,18,0.0,Media alta
458,362,0.0,Media alta
459,1556,0.0,Media alta
460,1166,1.0,Media alta
461,650,0.0,Media alta
462,645,0.0,Media alta
463,703,0.0,Media alta
464,377,0.0,Media alta
465,1515,0.0,Media alta
466,539,0.0,Media alta
467,924,0.0,Media alta
468,1246,0.0,Media alta
469,505,0.0,Media alta
470,1073,0.0,Media alta
471,1385,1.0,Media alta
472,1287,0.0,Media alta
473,1202,0.0,Media alta
474,731,0.0,Media alta
475,1089,0.0,Media alta
476,512,0.0,Media alta
477,389,0.0,Media alta
478,567,0.0,Media alta
479,718,0.0,Media alta
480,1110,0.0,Media alta
481,1149,0.0,Media alta
482,582,0.0,Media alta
483,1404,0.0,Media alta
484,1266,1.0,Media alta
485,175,0.0,Media alta
486,193,0.0,Media alta
487,1518,0.0,Media alta
488,486,0.0,Media alta
489,379,0.0,Media alta
490,1186,0.0,Media alta
491,642,0.0,Media alta
492,922,1.0,Media alta
493,975,1.0,Media alta
494,1,0.0,Media alta
495,406,0.0,Media alta
496,947,0.0,Media alta
497,1034,0.0,Media alta
498,136,0.0,Media alta
499,162,0.0,Media alta
500,750,0.0,Media alta
501,287,0.0,Media alta
502,1279,0.0,Media alta
503,1028,0.0,Media alta
504,456,0.0,Media alta
505,444,0.0,Media alta
506,792,0.0,Media alta
507,814,0.0,Media alta
508,396,0.0,Media alta
509,943,1.0,Media alta
510,1020,0.0,Media alta
511,1554,0.0,Media alta
512,366,0.0,Media alta
513,555,0.0,Media alta
514,831,0.0,Media alta
515,1316,0.0,Media alta
516,1222,0.0,Media alta
517,1237,0.0,Media alta
518,129,0.0,Media alta
519,1336,0.0,Media alta
520,356,0.0,Media alta
521,1524,0.0,Media alta
522,504,0.0,Media alta
523,556,0.0,Media alta
524,1525,0.0,Media alta
525,722,0.0,Media alta
526,1170,1.0,Media alta
527,942,0.0,Media alta
528,637,0.0,Media alta
529,889,0.0,Media alta
530,1163,1.0,Media alta
531,1344,0.0,Media alta
532,106,0.0,Media alta
533,68,0.0,Media alta
534,450,0.0,Media alta
535,1094,1.0,Media alta
536,465,0.0,Media alta
537,559,0.0,Media alta
538,602,0.0,Media alta
539,388,0.0,Media alta
540,952,0.0,Media alta
541,438,0.0,Media alta
542,1528,0.0,Media alta
543,1162,1.0,Media alta
544,1208,0.0,Media alta
545,7,0.0,Media alta
546,789,0.0,Media alta
547,1066,0.0,Media alta
548,1405,0.0,Media alta
549,1306,0.0,Media alta
550,218,0.0,Media alta
551,1338,0.0,Media alta
552,434,0.0,Media alta
553,1145,0.0,Media alta
554,1010,0.0,Media alta
555,545,0.0,Media alta
556,420,0.0,Media alta
557,257,0.0,Media alta
558,790,1.0,Media alta
559,957,0.0,Media alta
560,1153,0.0,Media alta
561,522,0.0,Media alta
562,806,0.0,Media alta
563,541,0.0,Media alta
564,1296,0.0,Media alta
565,1032,0.0,Media alta
566,1298,0.0,Media alta
567,894,0.0,Media alta
568,960,0.0,Media alta
569,235,0.0,Media alta
570,1070,0.0,Media alta
571,903,1.0,Media alta
572,961,0.0,Media alta
573,1206,0.0,Media alta
574,1160,1.0,Media alta
575,1334,0.0,Media alta
576,861,0.0,Media alta
577,1339,0.0,Media alta
578,574,0.0,Media alta
579,973,1.0,Media alta
580,713,0.0,Media alta
581,669,0.0,Media alta
582,1006,0.0,Media alta
583,154,0.0,Media alta
584,424,0.0,Media alta
585,796,1.0,Media alta
586,1235,0.0,Media alta
587,1526,0.0,Media alta
588,1377,1.0,Media alta
589,496,0.0,Media alta
590,738,0.0,Media alta
591,233,0.0,Media alta
592,381,0.0,Media alta
593,503,0.0,Media alta
594,64,0.0,Media alta
595,1068,0.0,Media alta
596,1359,0.0,Media alta
597,70,0.0,Media alta
598,399,0.0,Media alta
599,1361,0.0,Media alta
600,875,0.0,Media alta
601,442,0.0,Media alta
602,1386,0.0,Media alta
603,531,0.0,Media alta
604,201,0.0,Media alta
605,419,0.0,Media alta
606,473,0.0,Media alta
607,890,0.0,Media alta
608,1003,1.0,Media alta
609,899,0.0,Media alta
610,1214,0.0,Media alta
611,1304,0.0,Media alta
612,326,0.0,Media alta
613,6,0.0,Media alta
614,562,0.0,Media alta
615,783,0.0,Media alta
616,249,0.0,Media alta
617,1051,0.0,Media alta
618,211,0.0,Media alta
619,1210,0.0,Media alta
620,149,0.0,Media alta
621,846,0.0,Media alta
622,484,0.0,Media alta
623,1249,0.0,Media alta
624,787,0.0,Media alta
625,1517,0.0,Media alta
626,1548,0.0,Media alta
627,513,0.0,Media alta
628,727,0.0,Media alta
629,372,0.0,Media alta
630,1255,0.0,Media alta
631,1295,0.0,Media alta
632,925,1.0,Media alta
633,1378,0.0,Media alta
634,322,1.0,Media alta
635,348,0.0,Media alta
636,856,0.0,Media alta
637,1282,0.0,Media alta
638,1340,0.0,Media alta
639,871,1.0,Media alta
640,1158,0.0,Media alta
641,1509,0.0,Media alta
642,1021,0.0,Media alta
643,1539,0.0,Media alta
644,1185,0.0,Media alta
645,1219,0.0,Media alta
646,677,0.0,Media alta
647,867,1.0,Media alta
648,525,0.0,Media alta
649,421,0.0,Media alta
650,364,0.0,Media alta
651,992,1.0,Media alta
652,929,0.0,Media alta
653,454,0.0,Media alta
654,931,0.0,Media alta
655,954,1.0,Media alta
656,811,0.0,Media alta
657,963,0.0,Media alta
658,959,0.0,Media alta
659,1355,0.0,Media alta
660,408,0.0,Media alta
661,714,0.0,Media alta
662,354,0.0,Media alta
663,668,0.0,Media alta
664,303,0.0,Media alta
665,34,0.0,Media alta
666,66,0.0,Media alta
667,576,0.0,Media alta
668,913,1.0,Media alta
669,54,0.0,Media alta
670,897,0.0,Media alta
671,1178,0.0,Media alta
672,178,0.0,Media alta
673,3,0.0,Media alta
674,472,0.0,Media alta
675,633,0.0,Media alta
676,460,0.0,Media alta
677,1100,1.0,Media alta
678,785,1.0,Media alta
679,1146,1.0,Media alta
680,1510,0.0,Media alta
681,1071,0.0,Media alta
682,204,0.0,Media alta
683,1360,0.0,Media alta
684,1352,0.0,Media alta
685,1283,0.0,Media alta
686,112,0.0,Media alta
687,1537,0.0,Media alta
688,266,0.0,Media alta
689,128,0.0,Media alta
690,1553,0.0,Media alta
691,139,0.0,Media alta
692,1092,1.0,Media alta
693,487,0.0,Media alta
694,1406,0.0,Media alta
695,969,1.0,Media alta
696,1356,0.0,Media alta
697,932,0.0,Media alta
698,1294,0.0,Media alta
699,1513,0.0,Media alta
700,1314,0.0,Media alta
701,779,1.0,Media alta
702,1549,0.0,Media alta
703,1342,0.0,Media alta
704,1072,0.0,Media alta
705,833,0.0,Media alta
706,948,0.0,Media alta
707,667,0.0,Media alta
708,967,1.0,Media alta
709,78,0.0,Media alta
710,1099,0.0,Media alta
711,1384,1.0,Media alta
712,1191,0.0,Media alta
713,125,0.0,Media alta
714,865,0.0,Media alta
715,855,0.0,Media alta
716,12,0.0,Media alta
717,1341,0.0,Media alta
718,939,0.0,Media alta
719,1062,0.0,Media alta
720,1536,0.0,Media alta
721,416,0.0,Media alta
722,1056,1.0,Media alta
723,1167,1.0,Media alta
724,1224,0.0,Media alta
725,1231,0.0,Media alta
726,188,0.0,Media alta
727,1353,1.0,Media alta
728,278,0.0,Media alta
729,1096,1.0,Media alta
730,534,0.0,Media alta
731,1064,0.0,Media alta
732,464,0.0,Media alta
733,443,0.0,Media alta
734,432,0.0,Media alta
735,1124,0.0,Media alta
736,1078,0.0,Media alta
737,923,0.0,Media alta
738,863,0.0,Media alta
739,1067,0.0,Media alta
740,1111,0.0,Media alta
741,1081,0.0,Media alta
742,1245,0.0,Media alta
743,1238,0.0,Media alta
744,1024,0.0,Media alta
745,810,0.0,Media alta
746,1040,0.0,Media alta
747,1009,1.0,Media alta
748,864,0.0,Media alta
749,685,0.0,Media alta
750,640,0.0,Media alta
751,1271,0.0,Media alta
752,1176,0.0,Media alta
753,1354,0.0,Media baja
754,635,0.0,Media baja
755,407,0.0,Media baja
756,116,0.0,Media baja
757,926,1.0,Media baja
758,1543,1.0,Media baja
759,578,0.0,Media baja
760,324,1.0,Media baja
761,709,0.0,Media baja
762,179,0.0,Media baja
763,412,0.0,Media baja
764,1103,1.0,Media baja
765,299,1.0,Media baja
766,528,0.0,Media baja
767,302,0.0,Media baja
768,872,0.0,Media baja
769,853,0.0,Media baja
770,93,0.0,Media baja
771,885,0.0,Media baja
772,353,0.0,Media baja
773,1194,0.0,Media baja
774,1444,1.0,Media baja
775,477,0.0,Media baja
776,543,0.0,Media baja
777,552,0.0,Media baja
778,208,0.0,Media baja
779,200,0.0,Media baja
780,678,0.0,Media baja
781,707,0.0,Media baja
782,1039,0.0,Media baja
783,361,0.0,Media baja
784,968,0.0,Media baja
